city,date,value,delta
"Rochester city, Minnesota",2007,0.01607717041800643,-0.11095017656908956
"Rochester city, Minnesota",2008,0.057618926481811245,0.041541756063804815
"Rochester city, Minnesota",2009,0.09902122791407143,0.04140230143226019
"Rochester city, Minnesota",2010,0.10774002157497303,0.0087187936609016
"Rochester city, Minnesota",2011,0.06595681750961255,-0.041783204065360485
"Rochester city, Minnesota",2012,0.07307648596431413,0.007119668454701578
"Rochester city, Minnesota",2013,0.06670553935860059,-0.006370946605713537
"Rochester city, Minnesota",2014,0.11875542332961447,0.052049883971013886
"Rochester city, Minnesota",2015,0.05733273259743185,-0.06142269073218262
"Rochester city, Minnesota",2016,0.15976974041490172,0.10243700781746987
"Rochester city, Minnesota",2017,0.097006480814731,-0.06276325960017072
"Rochester city, Minnesota",2018,0.02618469791799719,-0.07082178289673381
"Rochester city, Minnesota",2019,,
"San Antonio city, Texas",2005,0.16638555312036035,
"San Antonio city, Texas",2006,0.15610430500333017,-0.010281248117030184
"San Antonio city, Texas",2007,0.1234460516028147,-0.032658253400515466
"San Antonio city, Texas",2008,0.13841316956003827,0.014967117957223566
"San Antonio city, Texas",2009,0.15216073356952048,0.01374756400948221
"San Antonio city, Texas",2010,0.20305162069428204,0.05089088712476156
"San Antonio city, Texas",2011,0.17722992573955332,-0.02582169495472872
"San Antonio city, Texas",2012,0.1905686179363889,0.013338692196835589
"San Antonio city, Texas",2013,0.15002949114372016,-0.040539126792668745
"San Antonio city, Texas",2014,0.13530736829764606,-0.014722122846074104
"San Antonio city, Texas",2015,0.1152024895916565,-0.02010487870598955
"San Antonio city, Texas",2016,0.11504241493281785,-0.00016007465883866034
"San Antonio city, Texas",2017,0.11503858326517549,-3.831667642353875e-06
"San Antonio city, Texas",2018,0.1404508028512317,0.025412219586056217
"San Antonio city, Texas",2019,0.11948313042880586,-0.02096767242242585
"Scottsdale city, Arizona",2005,0.06271626297577855,
"Scottsdale city, Arizona",2006,0.047303515553101416,-0.015412747422677134
"Scottsdale city, Arizona",2007,0.07243278796349585,0.025129272410394435
"Scottsdale city, Arizona",2008,0.03885564390523814,-0.033577144058257714
"Scottsdale city, Arizona",2009,0.11036912012915535,0.07151347622391721
"Scottsdale city, Arizona",2010,0.12683798268517246,0.016468862556017108
"Scottsdale city, Arizona",2011,0.12513791835233543,-0.0017000643328370368
"Scottsdale city, Arizona",2012,0.12095883929979498,-0.004179079052540446
"Scottsdale city, Arizona",2013,0.16322851992789905,0.04226968062810407
"Scottsdale city, Arizona",2014,0.033373835560955856,-0.1298546843669432
"Scottsdale city, Arizona",2015,0.058601861108974855,0.025228025548019
"Scottsdale city, Arizona",2016,0.05173951828724353,-0.006862342821731322
"Scottsdale city, Arizona",2017,0.05342909004814143,0.0016895717608978941
"Scottsdale city, Arizona",2018,0.06342200023231502,0.009992910184173594
"Scottsdale city, Arizona",2019,0.05090439276485788,-0.012517607467457142
"South Bend city, Indiana",2005,0.13186813186813187,
"South Bend city, Indiana",2006,0.20692347735554398,0.0750553454874121
"South Bend city, Indiana",2007,0.21204301075268817,0.005119533397144188
"South Bend city, Indiana",2008,0.23465930480612374,0.02261629405343557
"South Bend city, Indiana",2009,0.31834259727134917,0.08368329246522543
"South Bend city, Indiana",2010,0.3977833863711182,0.07944078909976904
